#Voltage	Current	
#V	A	
-0.0423786094487877	-1.09467526633295E-4
0.00582077827292943	-1.08899114362726E-4
0.0540201659946466	-1.08330702092158E-4
0.103972258724426	-1.0719387755102E-4
0.155384938960925	-1.06826081375947E-4
0.201831621674579	-1.06224233089462E-4
0.256749711927203	-1.05655820818894E-4
0.303196394640857	-1.04719612373251E-4
0.354609074877356	-1.03382171736619E-4
0.404561167607135	-1.02813759466051E-4
0.457726552851696	-1.00172314208702E-4
0.499207238042507	-9.44547554871005E-5
0.550619918279005	-8.21168656141702E-5
0.598819306000723	-4.80790014118855E-5
0.620436001100159	-1.78528430240021E-5
0.628907408639128	-3.04068797330253E-6
0.633873406161972	6.65575664227955E-6
